Open,High,Low,Close,Volume,Dividends,Stock Splits
2.25,2.375,2.125,2.28125,3051600,0,0.0
2.3125,2.3125,2.25,2.3125,453200,0,0.0
2.3125,2.375,2.28125,2.3125,559200,0,0.0
2.28125,2.3125,2.25,2.25,845200,0,0.0
2.25,2.28125,2.1875,2.28125,1187200,0,0.0
2.1875,2.28125,2.1875,2.1875,355600,0,0.0
2.25,2.25,2.1875,2.21875,125200,0,0.0
2.25,2.25,2.09375,2.09375,177600,0,0.0
2.09375,2.15625,2.09375,2.15625,164400,0,0.0
2.15625,2.15625,2.09375,2.15625,102800,0,0.0
2.15625,2.1875,2.09375,2.09375,156400,0,0.0
2.1875,2.1875,2.09375,2.09375,105200,0,0.0
2.1875,2.1875,2.09375,2.1875,203200,0,0.0
2.1875,2.1875,2.09375,2.09375,137600,0,0.0
2.125,2.1875,2.09375,2.09375,116400,0,0.0
2.09375,2.1875,2.09375,2.09375,46800,0,0.0
2.09375,2.1875,2.09375,2.09375,49600,0,0.0
2.15625,2.1875,2.09375,2.09375,71600,0,0.0
2.09375,2.1875,2.09375,2.09375,112400,0,0.0
2.09375,2.1875,2.09375,2.125,75600,0,0.0
2.09375,2.1875,2.09375,2.1875,39200,0,0.0
2.09375,2.1875,2.09375,2.1875,46800,0,0.0
2.1875,2.1875,2.09375,2.09375,36800,0,0.0
2.1875,2.25,2.09375,2.15625,178000,0,0.0
2.25,2.25,2.15625,2.1875,525200,0,0.0
2.25,2.25,2.1875,2.25,120400,0,0.0
2.25,2.25,2.1875,2.21875,130800,0,0.0
2.21875,2.234375,2.21875,2.21875,72800,0,0.0
2.234375,2.234375,2.1875,2.1875,344800,0,0.0
2.1875,2.21875,2.1875,2.21875,445200,0,0.0
2.1875,2.234375,2.1875,2.1875,54400,0,0.0
2.1875,2.234375,2.1875,2.1875,76000,0,0.0
2.234375,2.234375,2.1875,2.1875,72800,0,0.0
2.234375,2.234375,2.1875,2.21875,254400,0,0.0
2.1875,2.21875,2.15625,2.15625,180800,0,0.0
2.15625,2.1875,2.15625,2.1875,134000,0,0.0
2.15625,2.21875,2.15625,2.15625,47600,0,0.0
2.21875,2.21875,2.15625,2.1875,117200,0,0.0
2.15625,2.21875,2.15625,2.15625,99600,0,0.0
2.15625,2.21875,2.15625,2.15625,50800,0,0.0
2.21875,2.21875,2.15625,2.21875,188800,0,0.0
2.15625,2.21875,2.15625,2.15625,92800,0,0.0
2.15625,2.21875,2.15625,2.21875,501600,0,0.0
2.21875,2.3125,2.1875,2.21875,150800,0,0.0
2.3125,2.3125,2.21875,2.25,39200,0,0.0
2.25,2.3125,2.21875,2.3125,28800,0,0.0
2.3125,2.3125,2.21875,2.3125,27600,0,0.0
2.3125,2.46875,2.25,2.375,240000,0,0.0
2.4375,2.53125,2.375,2.53125,218800,0,0.0
2.53125,2.75,2.4375,2.75,277600,0,0.0
2.78125,2.9375,2.6875,2.78125,772000,0,0.0
2.78125,2.78125,2.6875,2.6875,185200,0,0.0
2.71875,2.78125,2.6875,2.6875,137200,0,0.0
2.78125,2.78125,2.65625,2.6875,128400,0,0.0
2.65625,2.75,2.53125,2.625,228000,0,0.0
2.625,2.625,2.5625,2.625,119200,0,0.0
2.5625,2.625,2.375,2.53125,264400,0,0.0
2.5,2.5,2.375,2.375,81200,0,0.0
2.46875,2.46875,2.375,2.46875,128000,0,0.0
2.46875,2.71875,2.375,2.5625,548400,0,0.0
2.5625,2.5625,2.5,2.5,37600,0,0.0
2.5625,2.59375,2.5,2.5,132400,0,0.0
2.59375,2.59375,2.5,2.515625,145200,0,0.0
2.5,2.59375,2.46875,2.46875,114800,0,0.0
2.59375,2.59375,2.46875,2.46875,41200,0,0.0
2.46875,2.59375,2.46875,2.59375,49200,0,0.0
2.46875,2.59375,2.46875,2.46875,55200,0,0.0
2.5625,2.5625,2.46875,2.46875,61200,0,0.0
2.46875,2.5625,2.46875,2.53125,101600,0,0.0
2.53125,2.53125,2.46875,2.46875,91200,0,0.0
2.46875,2.53125,2.46875,2.46875,170400,0,0.0
2.53125,2.53125,2.46875,2.46875,44400,0,0.0
2.53125,2.53125,2.46875,2.484375,41600,0,0.0
2.46875,2.5,2.46875,2.46875,43600,0,0.0
2.46875,2.53125,2.46875,2.46875,44000,0,0.0
2.53125,2.53125,2.46875,2.5,74000,0,0.0
2.46875,2.53125,2.46875,2.53125,20800,0,0.0
2.53125,2.53125,2.40625,2.40625,314000,0,0.0
2.5,2.5,2.34375,2.375,639200,0,0.0
2.375,2.4375,2.375,2.375,336000,0,0.0
2.34375,2.34375,2.28125,2.28125,302000,0,0.0
2.28125,2.34375,2.25,2.28125,172000,0,0.0
2.21875,2.3125,2.21875,2.21875,329200,0,0.0
2.21875,2.28125,2.21875,2.21875,142000,0,0.0
2.1875,2.28125,2.15625,2.15625,72800,0,0.0
2.15625,2.25,2.15625,2.1875,107200,0,0.0
2.1875,2.25,2.125,2.15625,1419600,0,0.0
2.25,2.25,2.15625,2.15625,24000,0,0.0
2.25,2.25,2.125,2.125,77200,0,0.0
2.21875,2.21875,2.0625,2.0625,45600,0,0.0
2.0625,2.125,1.96875,1.96875,102400,0,0.0
2.09375,2.09375,1.875,1.90625,590800,0,0.0
1.96875,1.96875,1.78125,1.84375,182000,0,0.0
1.84375,1.84375,1.53125,1.65625,224400,0,0.0
1.6875,1.6875,1.5625,1.59375,272000,0,0.0
1.625,1.625,1.5625,1.5625,39600,0,0.0
1.625,1.65625,1.5625,1.578125,200800,0,0.0
1.625,1.625,1.59375,1.59375,34800,0,0.0
1.625,1.625,1.5625,1.625,72000,0,0.0
1.5625,1.59375,1.5,1.59375,154000,0,0.0
1.59375,1.59375,1.5,1.5,126400,0,0.0
1.59375,1.59375,1.5,1.59375,135600,0,0.0
1.5,1.5625,1.5,1.5625,45600,0,0.0
1.5,1.5625,1.5,1.5625,47600,0,0.0
1.5625,1.65625,1.5,1.59375,66000,0,0.0
1.59375,1.59375,1.5,1.5,64800,0,0.0
1.5,1.53125,1.5,1.53125,77600,0,0.0
1.515625,1.53125,1.5,1.5,101600,0,0.0
1.515625,1.53125,1.5,1.53125,144000,0,0.0
1.53125,1.5625,1.5,1.5,33200,0,0.0
1.5,1.5625,1.5,1.5625,6800,0,0.0
1.5625,1.5625,1.5,1.5625,200800,0,0.0
1.515625,1.5625,1.5,1.53125,240800,0,0.0
1.5,1.65625,1.5,1.65625,60800,0,0.0
1.65625,1.75,1.625,1.75,77200,0,0.0
1.75,1.8125,1.65625,1.75,55600,0,0.0
1.8125,1.8125,1.75,1.75,17600,0,0.0
1.75,1.8125,1.75,1.75,113200,0,0.0
1.71875,1.75,1.65625,1.75,24400,0,0.0
1.75,1.78125,1.71875,1.75,200400,0,0.0
1.75,1.75,1.71875,1.75,50800,0,0.0
1.78125,1.78125,1.71875,1.734375,6400,0,0.0
1.78125,1.78125,1.75,1.75,7200,0,0.0
1.734375,1.78125,1.734375,1.75,1600,0,0.0
1.734375,1.78125,1.734375,1.78125,2400,0,0.0
1.78125,1.90625,1.75,1.90625,73600,0,0.0
1.875,1.96875,1.875,1.96875,33600,0,0.0
1.96875,2.09375,1.9375,2.0625,71200,0,0.0
2.15625,2.15625,2.0625,2.0625,40400,0,0.0
2.125,2.125,2.0625,2.125,9200,0,0.0
2.09375,2.09375,2.03125,2.03125,87600,0,0.0
2.09375,2.09375,1.953125,1.953125,72400,0,0.0
2.0,2.0,1.9375,1.9375,60800,0,0.0
1.9375,1.96875,1.875,1.875,211200,0,0.0
1.875,1.875,1.8125,1.8125,44800,0,0.0
1.8125,1.84375,1.8125,1.84375,40000,0,0.0
1.8125,1.875,1.8125,1.84375,1600,0,0.0
1.875,1.875,1.84375,1.84375,6800,0,0.0
1.84375,1.875,1.8125,1.8125,41600,0,0.0
1.875,1.875,1.828125,1.875,52800,0,0.0
1.875,1.875,1.8125,1.875,26400,0,0.0
1.875,1.875,1.875,1.875,0,0,0.0
1.8125,1.875,1.75,1.78125,32400,0,0.0
1.84375,1.84375,1.78125,1.78125,34800,0,0.0
1.84375,1.84375,1.8125,1.84375,6400,0,0.0
1.84375,1.84375,1.78125,1.78125,29200,0,0.0
1.8125,2.1875,1.8125,2.15625,285200,0,0.0
2.25,2.59375,2.25,2.53125,694400,0,0.0
2.5625,2.59375,2.4375,2.46875,184800,0,0.0
2.46875,2.53125,2.46875,2.5,274400,0,0.0
2.53125,2.5625,2.5,2.53125,287600,0,0.0
2.53125,2.5625,2.5,2.5,83200,0,0.0
2.5,2.625,2.5,2.5625,188800,0,0.0
2.625,2.625,2.484375,2.5,292000,0,0.0
2.53125,2.5625,2.46875,2.46875,106400,0,0.0
2.46875,2.5,2.46875,2.5,86800,0,0.0
2.484375,2.53125,2.46875,2.5,199600,0,0.0
2.53125,2.53125,2.46875,2.46875,28400,0,0.0
2.53125,2.53125,2.46875,2.46875,193200,0,0.0
2.46875,2.5,2.46875,2.5,66000,0,0.0
2.53125,2.53125,2.46875,2.46875,96800,0,0.0
2.46875,2.53125,2.46875,2.5,128400,0,0.0
2.5,2.53125,2.46875,2.46875,94800,0,0.0
2.46875,2.53125,2.46875,2.46875,134800,0,0.0
2.46875,2.53125,2.46875,2.5,177200,0,0.0
2.46875,2.53125,2.4375,2.4375,105200,0,0.0
2.4375,2.5,2.34375,2.34375,272000,0,0.0
2.40625,2.40625,2.34375,2.375,67200,0,0.0
2.375,2.40625,2.375,2.375,20400,0,0.0
2.46875,2.5,2.4375,2.4375,94400,0,0.0
2.5,2.5,2.4375,2.4375,23600,0,0.0
2.4375,2.5,2.4375,2.4375,11200,0,0.0
2.4375,2.5,2.4375,2.5,36800,0,0.0
2.5,2.5,2.4375,2.46875,88800,0,0.0
2.5,2.5,2.34375,2.375,111600,0,0.0
2.375,2.4375,2.375,2.390625,56400,0,0.0
2.375,2.375,2.375,2.375,13600,0,0.0
2.4375,2.4375,2.375,2.375,10400,0,0.0
2.375,2.4375,2.375,2.4375,14000,0,0.0
2.4375,2.4375,2.375,2.4375,56000,0,0.0
2.4375,2.4375,2.375,2.40625,61600,0,0.0
2.375,2.375,2.375,2.375,64400,0,0.0
2.34375,2.40625,2.34375,2.40625,26000,0,0.0
2.40625,2.40625,2.3125,2.375,84400,0,0.0
2.34375,2.375,2.34375,2.34375,48400,0,0.0
2.34375,2.34375,2.3125,2.3125,92000,0,0.0
2.3125,2.3125,2.1875,2.265625,237600,0,0.0
2.25,2.25,2.1875,2.1875,41200,0,0.0
2.1875,2.1875,2.1875,2.1875,1600,0,0.0
2.1875,2.1875,2.125,2.125,35200,0,0.0
2.21875,2.21875,2.09375,2.15625,217200,0,0.0
2.15625,2.15625,2.125,2.15625,67200,0,0.0
2.15625,2.21875,2.15625,2.203125,17200,0,0.0
2.28125,2.46875,2.28125,2.46875,264800,0,0.0
2.46875,2.5,2.4375,2.4375,313200,0,0.0
2.4375,2.46875,2.4375,2.46875,24000,0,0.0
2.5,2.5,2.4375,2.4375,56000,0,0.0
2.34375,2.34375,2.25,2.3125,55600,0,0.0
2.25,2.25,2.25,2.25,37200,0,0.0
2.25,2.375,2.234375,2.28125,310400,0,0.0
2.25,2.28125,2.125,2.25,372800,0,0.0
2.25,2.25,2.1875,2.21875,57200,0,0.0
2.25,2.25,2.125,2.15625,617600,0,0.0
2.1875,2.25,2.15625,2.25,209600,0,0.0
2.125,2.25,2.125,2.1875,739200,0,0.0
2.21875,2.21875,2.09375,2.15625,173200,0,0.0
2.125,2.15625,2.125,2.15625,256400,0,0.0
2.125,2.1875,2.125,2.125,40400,0,0.0
2.125,2.1875,2.125,2.125,152800,0,0.0
2.15625,2.1875,2.09375,2.09375,39600,0,0.0
2.125,2.1875,2.09375,2.1875,31600,0,0.0
2.140625,2.15625,2.09375,2.09375,53200,0,0.0
2.1875,2.1875,2.09375,2.125,304000,0,0.0
2.125,2.1875,2.125,2.171875,109200,0,0.0
2.125,2.1875,2.125,2.1875,136800,0,0.0
2.1875,2.1875,2.15625,2.1875,66000,0,0.0
2.15625,2.21875,2.15625,2.21875,640400,0,0.0
2.203125,2.21875,2.1875,2.21875,104000,0,0.0
2.21875,2.25,2.1875,2.21875,393200,0,0.0
2.25,2.265625,2.1875,2.25,245600,0,0.0
2.25,2.3125,2.25,2.296875,352800,0,0.0
2.3125,2.71875,2.296875,2.6875,470400,0,0.0
2.65625,2.71875,2.625,2.71875,133600,0,0.0
2.71875,2.71875,2.65625,2.71875,177200,0,0.0
2.71875,2.75,2.4375,2.4375,397200,0,0.0
2.53125,2.59375,2.46875,2.5625,507600,0,0.0
2.5625,2.8125,2.5625,2.65625,219600,0,0.0
2.75,2.8125,2.6875,2.6875,102000,0,0.0
2.71875,2.8125,2.6875,2.78125,528400,0,0.0
2.796875,2.90625,2.75,2.890625,605600,0,0.0
2.96875,2.96875,2.9375,2.9375,89200,0,0.0
3.0625,3.25,2.9375,3.0625,468800,0,0.0
3.0625,3.0625,2.84375,3.0,264000,0,0.0
2.96875,2.96875,2.84375,2.90625,56400,0,0.0
2.9375,3.0,2.90625,2.96875,269600,0,0.0
3.0,3.125,2.96875,3.03125,236400,0,0.0
3.0625,3.09375,2.9375,3.0,89200,0,0.0
3.0,3.09375,2.9375,2.96875,78800,0,0.0
2.96875,2.96875,2.8125,2.9375,162000,0,0.0
2.78125,3.0,2.78125,3.0,169200,0,0.0
3.0,3.125,3.0,3.0,53200,0,0.0
3.0625,3.0625,3.0625,3.0625,5600,0,0.0
3.0625,3.0625,2.96875,3.0625,269600,0,0.0
2.96875,3.09375,2.96875,3.0,83600,0,0.0
2.96875,3.09375,2.96875,2.96875,10400,0,0.0
2.96875,3.09375,2.96875,3.03125,81200,0,0.0
2.96875,3.09375,2.96875,3.0625,58800,0,0.0
3.0,3.125,2.96875,3.0,235600,0,0.0
3.0,3.0625,2.96875,3.03125,115200,0,0.0
3.03125,3.03125,2.9375,2.96875,49600,0,0.0
3.03125,3.03125,2.9375,2.9375,87200,0,0.0
3.03125,3.03125,2.9375,2.9375,94800,0,0.0
3.0,3.03125,2.78125,2.78125,329600,0,0.0
2.8125,2.875,2.78125,2.84375,81200,0,0.0
2.90625,2.90625,2.84375,2.84375,230800,0,0.0
2.859375,2.859375,2.6875,2.8125,228000,0,0.0
2.71875,2.8125,2.671875,2.8125,144000,0,0.0
2.8125,2.8125,2.6875,2.6875,112400,0,0.0
2.6875,2.8125,2.6875,2.75,85600,0,0.0
2.6875,2.8125,2.625,2.71875,345200,0,0.0
2.6875,2.8125,2.6875,2.75,70000,0,0.0
2.8125,2.8125,2.78125,2.78125,58000,0,0.0
2.796875,2.8125,2.78125,2.78125,106400,0,0.0
2.8125,2.8125,2.78125,2.78125,71600,0,0.0
2.78125,2.84375,2.6875,2.6875,80400,0,0.0
2.6875,2.75,2.65625,2.6875,7200,0,0.0
2.78125,2.8125,2.65625,2.65625,110400,0,0.0
2.625,2.6875,2.59375,2.59375,38400,0,0.0
2.59375,2.59375,2.59375,2.59375,3600,0,0.0
2.625,2.65625,2.59375,2.59375,375600,0,0.0
2.6875,2.6875,2.59375,2.59375,28800,0,0.0
2.59375,2.65625,2.5625,2.625,412800,0,0.0
2.65625,2.65625,2.53125,2.5625,202000,0,0.0
2.5625,2.59375,2.5625,2.59375,66800,0,0.0
2.65625,2.65625,2.59375,2.59375,49600,0,0.0
2.625,2.625,2.59375,2.59375,36400,0,0.0
2.625,2.625,2.5,2.59375,182000,0,0.0
2.5,2.59375,2.5,2.59375,172800,0,0.0
2.5,2.5,2.5,2.5,13200,0,0.0
2.5625,2.5625,2.46875,2.53125,212400,0,0.0
2.5,2.5,2.46875,2.5,183600,0,0.0
2.5,2.5,2.46875,2.5,91600,0,0.0
2.5,2.5,2.46875,2.46875,73600,0,0.0
2.46875,2.5,2.46875,2.5,48800,0,0.0
2.46875,2.5,2.4375,2.5,42800,0,0.0
2.5,2.5,2.46875,2.484375,24800,0,0.0
2.46875,2.5,2.46875,2.46875,25600,0,0.0
2.46875,2.5,2.46875,2.46875,64000,0,0.0
2.5,2.5,2.4375,2.5,104000,0,0.0
2.46875,2.5,2.46875,2.5,56000,0,0.0
2.484375,2.484375,2.46875,2.46875,161200,0,0.0
2.484375,2.5,2.46875,2.46875,384800,0,0.0
2.5,2.5,2.4375,2.484375,408400,0,0.0
2.4375,2.4375,2.40625,2.4375,134400,0,0.0
2.5,2.5,2.125,2.4375,570400,0,0.0
2.25,2.28125,2.15625,2.25,339200,0,0.0
2.21875,2.25,2.09375,2.1875,174000,0,0.0
2.1875,2.1875,2.09375,2.09375,198000,0,0.0
2.1875,2.1875,2.078125,2.15625,90000,0,0.0
2.09375,2.125,1.96875,2.03125,153600,0,0.0
2.125,2.15625,2.09375,2.125,142000,0,0.0
2.125,2.140625,1.96875,2.140625,450000,0,0.0
2.0625,2.125,2.0,2.09375,149600,0,0.0
2.09375,2.09375,2.015625,2.09375,30400,0,0.0
2.15625,2.15625,2.0625,2.125,184800,0,0.0
2.09375,2.15625,2.09375,2.15625,72000,0,0.0
2.140625,2.15625,2.125,2.140625,30400,0,0.0
2.125,2.15625,2.0625,2.09375,116800,0,0.0
2.125,2.15625,2.0,2.140625,364000,0,0.0
2.125,2.15625,2.0625,2.0625,85200,0,0.0
2.15625,2.15625,2.0,2.0625,176800,0,0.0
2.03125,2.125,2.03125,2.125,1200,0,0.0
2.125,2.15625,2.03125,2.140625,232000,0,0.0
2.1875,2.1875,2.15625,2.171875,68000,0,0.0
2.109375,2.3125,2.109375,2.25,306800,0,0.0
2.28125,2.4375,2.25,2.3125,292800,0,0.0
2.25,2.375,2.1875,2.25,290000,0,0.0
2.125,2.25,2.09375,2.25,96400,0,0.0
2.25,2.25,2.09375,2.15625,104800,0,0.0
2.1875,2.1875,2.0625,2.09375,54800,0,0.0
2.15625,2.15625,2.0625,2.0625,100000,0,0.0
2.15625,2.15625,1.921875,2.0625,315200,0,0.0
2.09375,2.21875,2.09375,2.15625,309200,0,0.0
2.1875,2.34375,2.1875,2.1875,194800,0,0.0
2.1875,2.1875,2.0625,2.171875,208000,0,0.0
2.21875,2.3125,2.125,2.25,144400,0,0.0
2.25,2.25,2.15625,2.25,142400,0,0.0
2.25,2.46875,2.15625,2.3125,477200,0,0.0
2.3125,2.3125,2.21875,2.3125,84400,0,0.0
2.3125,2.3125,2.25,2.28125,8800,0,0.0
2.3125,2.3125,2.15625,2.21875,149600,0,0.0
2.25,2.25,2.1875,2.25,4000,0,0.0
2.1875,2.28125,2.1875,2.28125,22400,0,0.0
2.1875,2.28125,2.1875,2.21875,23600,0,0.0
2.15625,2.34375,2.15625,2.25,171600,0,0.0
2.28125,2.34375,2.1875,2.25,114400,0,0.0
2.25,2.25,2.15625,2.15625,5200,0,0.0
2.25,2.25,2.21875,2.21875,74800,0,0.0
2.15625,2.28125,2.15625,2.21875,44000,0,0.0
2.28125,2.28125,2.03125,2.0625,181600,0,0.0
2.03125,2.125,2.03125,2.125,74000,0,0.0
2.15625,2.15625,2.15625,2.15625,12400,0,0.0
2.09375,2.28125,2.09375,2.25,345200,0,0.0
2.25,2.375,2.21875,2.234375,200800,0,0.0
2.28125,2.28125,2.125,2.28125,79200,0,0.0
2.15625,2.25,2.140625,2.25,91200,0,0.0
2.21875,2.3125,2.21875,2.304687976837158,80000,0,0.0
2.25,2.34375,2.21875,2.328125,192000,0,0.0
2.3125,2.6875,2.3125,2.59375,960400,0,0.0
2.59375,2.65625,2.40625,2.625,509200,0,0.0
2.59375,2.65625,2.5625,2.5625,97200,0,0.0
2.5625,2.6875,2.5625,2.59375,101200,0,0.0
2.65625,2.6875,2.5625,2.65625,84800,0,0.0
2.625,2.625,2.4375,2.5,99200,0,0.0
2.5625,2.625,2.46875,2.46875,78000,0,0.0
2.46875,2.5,2.40625,2.40625,88800,0,0.0
2.53125,2.75,2.53125,2.703125,394400,0,0.0
2.78125,2.90625,2.53125,2.625,463600,0,0.0
2.625,2.625,2.1875,2.28125,337200,0,0.0
2.40625,2.46875,2.34375,2.4375,154800,0,0.0
2.46875,2.625,2.46875,2.625,101200,0,0.0
2.625,2.65625,2.59375,2.65625,75200,0,0.0
2.59375,2.625,2.53125,2.53125,30400,0,0.0
2.59375,2.59375,2.40625,2.46875,505600,0,0.0
2.4375,2.46875,2.375,2.40625,108000,0,0.0
2.46875,2.46875,2.375,2.453125,166800,0,0.0
2.4375,2.53125,2.34375,2.53125,148000,0,0.0
2.5,2.5,2.34375,2.40625,217600,0,0.0
2.34375,2.40625,2.34375,2.375,71600,0,0.0
2.34375,2.40625,2.34375,2.40625,277600,0,0.0
2.421875,2.46875,2.3125,2.328125,331200,0,0.0
2.34375,2.4375,2.3125,2.34375,123600,0,0.0
2.3125,2.375,2.3125,2.34375,93600,0,0.0
2.3125,2.3125,2.3125,2.3125,6400,0,0.0
2.3125,2.523437976837158,2.3125,2.523437976837158,122800,0,0.0
2.46875,2.9375,2.46875,2.84375,547200,0,0.0
2.71875,2.8125,2.609375,2.65625,185600,0,0.0
2.71875,2.9375,2.59375,2.8125,586000,0,0.0
3.0,3.0,2.71875,2.8125,256800,0,0.0
2.78125,2.84375,2.6875,2.75,133600,0,0.0
2.6875,2.6875,2.6875,2.6875,4000,0,0.0
2.734375,2.8125,2.734375,2.75,139200,0,0.0
2.8125,2.84375,2.71875,2.8125,204800,0,0.0
2.75,2.78125,2.5625,2.6875,149200,0,0.0
2.6875,2.8125,2.625,2.671875,669600,0,0.0
2.65625,2.71875,2.65625,2.6875,167200,0,0.0
2.71875,2.71875,2.625,2.625,110400,0,0.0
2.625,2.921875,2.625,2.71875,513600,0,0.0
2.71875,3.0625,2.6875,2.875,1216400,0,0.0
2.9375,2.96875,2.875,2.9375,515600,0,0.0
2.96875,3.21875,2.96875,3.203125,961600,0,0.0
3.203125,3.203125,3.09375,3.15625,258400,0,0.0
3.21875,3.40625,3.125,3.375,673600,0,0.0
3.375,3.375,3.125,3.21875,368800,0,0.0
3.125,3.21875,3.0625,3.0625,150000,0,0.0
3.03125,3.03125,2.9375,3.0,156400,0,0.0
2.96875,3.03125,2.9375,3.0,167600,0,0.0
3.0,3.03125,2.9375,3.0,392400,0,0.0
3.0,3.75,2.96875,3.71875,1723200,0,0.0
3.75,3.9375,3.4375,3.5,550000,0,0.0
3.46875,3.625,3.34375,3.34375,424800,0,0.0
3.34375,3.59375,3.34375,3.59375,549200,0,0.0
3.5,3.875,3.5,3.6875,535200,0,0.0
3.8125,3.96875,3.65625,3.6875,508800,0,0.0
3.75,4.0,3.5625,3.84375,1196000,0,0.0
3.96875,4.0,3.75,3.765625,514800,0,0.0
3.90625,3.90625,3.6875,3.71875,198400,0,0.0
3.65625,3.90625,3.53125,3.75,472800,0,0.0
3.875,3.875,3.75,3.78125,215600,0,0.0
3.875,3.875,3.625,3.625,122400,0,0.0
3.625,3.625,3.4375,3.5625,310800,0,0.0
3.5,3.640625,3.5,3.59375,480800,0,0.0
3.65625,3.671875,3.53125,3.625,93600,0,0.0
3.53125,3.78125,3.53125,3.78125,254800,0,0.0
3.78125,3.84375,3.5625,3.59375,289200,0,0.0
3.625,3.6875,3.5625,3.59375,77200,0,0.0
