Open,High,Low,Close,Volume,Dividends,Stock Splits
7.125,8.25,6.875,7.875,11616800,0,0.0
8.0625,8.0625,7.6875,7.78125,1918400,0,0.0
7.8125,7.9375,7.5625,7.6875,1387200,0,0.0
7.625,8.0625,7.5625,7.9375,1206000,0,0.0
7.9375,8.0625,7.875,8.0,222800,0,0.0
8.0,8.0,7.6875,7.75,596000,0,0.0
7.6875,7.75,7.5625,7.6875,1759200,0,0.0
7.625,7.9375,7.625,7.75,297200,0,0.0
7.8125,8.1875,7.8125,8.0,659600,0,0.0
8.0,8.25,7.9375,8.1875,698400,0,0.0
8.3125,8.3125,8.0625,8.0625,274400,0,0.0
8.0625,8.3125,8.0625,8.1875,519600,0,0.0
8.125,8.5,8.125,8.4375,233200,0,0.0
8.375,8.4375,8.125,8.125,372800,0,0.0
8.1875,8.28125,8.1875,8.1875,172000,0,0.0
8.1875,8.4375,8.1875,8.3125,147600,0,0.0
8.5,8.6875,8.375,8.5625,613600,0,0.0
8.6875,8.8125,8.625,8.75,181200,0,0.0
8.8125,8.8125,8.5625,8.75,51600,0,0.0
8.625,8.6875,8.5625,8.625,88000,0,0.0
8.5625,8.6875,8.5625,8.65625,230000,0,0.0
8.6875,8.6875,8.3125,8.3125,556400,0,0.0
8.25,8.4375,7.875,7.875,251600,0,0.0
7.875,8.0625,7.875,8.0,188400,0,0.0
7.9375,8.0625,7.9375,8.0,210000,0,0.0
7.9375,7.9375,7.5,7.59375,272400,0,0.0
7.5,7.625,7.3125,7.5,416000,0,0.0
7.3125,7.5,7.25,7.5,574400,0,0.0
7.4375,7.6875,7.4375,7.5625,588800,0,0.0
7.6875,7.75,7.4375,7.5625,909600,0,0.0
7.4375,7.5,7.1875,7.375,544400,0,0.0
7.375,7.53125,7.25,7.46875,355200,0,0.0
7.5625,7.6875,7.5,7.5,93200,0,0.0
7.5625,7.6875,7.5625,7.6875,37200,0,0.0
7.6875,7.9375,7.5625,7.9375,193600,0,0.0
7.9375,7.9375,7.8125,7.8125,85200,0,0.0
7.8125,7.8125,7.625,7.625,91200,0,0.0
7.65625,7.65625,7.3125,7.34375,256400,0,0.0
7.125,7.1875,6.6875,6.8125,542800,0,0.0
6.75,6.75,6.375,6.625,663600,0,0.0
6.625,6.75,6.59375,6.6875,229200,0,0.0
6.625,6.75,6.625,6.625,92400,0,0.0
6.75,6.75,6.25,6.3125,514000,0,0.0
6.4375,6.6875,6.4375,6.625,350800,0,0.0
6.65625,6.6875,6.3125,6.5,390000,0,0.0
6.4375,7.25,6.375,7.25,336800,0,0.0
7.375,7.6875,7.3125,7.6875,400800,0,0.0
7.625,8.125,7.625,8.125,440000,0,0.0
8.1875,8.5625,8.0,8.375,246800,0,0.0
8.5,8.5,8.21875,8.25,405600,0,0.0
8.1875,8.5625,8.1875,8.375,623600,0,0.0
8.5,8.5,8.3125,8.34375,335200,0,0.0
8.3125,8.3125,7.875,7.875,270000,0,0.0
7.875,7.875,7.4375,7.53125,233600,0,0.0
7.5,7.5625,7.0625,7.25,244400,0,0.0
7.125,7.25,6.75,7.125,451600,0,0.0
7.0,7.5625,6.90625,7.375,305600,0,0.0
7.3125,7.5,7.1875,7.1875,288800,0,0.0
7.125,7.1875,7.0,7.1875,85200,0,0.0
7.0625,7.0625,6.8125,6.84375,154400,0,0.0
6.75,6.875,6.75,6.75,109600,0,0.0
6.78125,7.0,6.75,6.875,155600,0,0.0
6.875,6.9375,6.6875,6.6875,179200,0,0.0
6.875,7.0,6.625,6.75,1305600,0,0.0
7.0,7.0,6.8125,6.875,173200,0,0.0
6.9375,6.9375,6.59375,6.84375,800000,0,0.0
6.8125,7.1875,6.8125,7.1875,137600,0,0.0
7.1875,7.9375,7.1875,7.8125,733600,0,0.0
7.8125,8.375,7.8125,8.34375,1156800,0,0.0
8.3125,8.375,7.625,7.84375,828400,0,0.0
7.8125,8.0625,7.5625,7.59375,118800,0,0.0
7.6875,7.8125,7.4375,7.4375,308000,0,0.0
7.4375,7.4375,6.875,6.9375,312800,0,0.0
7.0625,7.3125,6.9375,7.0,336800,0,0.0
7.0,7.3125,6.875,7.25,524800,0,0.0
7.34375,7.375,7.125,7.1875,172000,0,0.0
7.3125,7.3125,7.125,7.3125,150800,0,0.0
7.125,7.25,7.0625,7.0625,214000,0,0.0
7.0625,7.0625,6.3125,6.5,648400,0,0.0
6.5,6.5,6.1875,6.375,948000,0,0.0
6.375,6.625,6.375,6.5625,340800,0,0.0
6.5625,6.5625,6.25,6.5,344400,0,0.0
6.5,6.8125,6.5,6.75,259200,0,0.0
6.625,6.75,6.625,6.6875,74000,0,0.0
6.6875,6.6875,6.3125,6.375,326400,0,0.0
6.25,6.5,6.1875,6.5,199200,0,0.0
6.5,6.8125,6.4375,6.75,343600,0,0.0
6.8125,7.1875,6.8125,7.0,420800,0,0.0
6.9375,7.0,6.75,6.875,194800,0,0.0
6.8125,6.8125,6.3125,6.625,439600,0,0.0
6.6875,6.8125,6.5625,6.625,227600,0,0.0
6.6875,6.6875,6.375,6.4375,263200,0,0.0
6.4375,6.625,6.375,6.5625,368800,0,0.0
6.5625,6.8125,6.5625,6.625,820400,0,0.0
6.5625,6.6875,6.5,6.5625,81200,0,0.0
6.5,6.5625,6.0,6.1875,776000,0,0.0
6.0625,6.4375,6.0625,6.375,195600,0,0.0
6.28125,6.375,6.25,6.3125,252400,0,0.0
6.375,6.4375,6.25,6.3125,451600,0,0.0
6.375,6.5,6.3125,6.375,219600,0,0.0
6.125,6.25,6.125,6.25,162400,0,0.0
6.25,6.25,6.125,6.21875,250400,0,0.0
6.21875,6.25,6.125,6.25,216800,0,0.0
6.125,6.15625,5.9375,5.9375,492400,0,0.0
5.9375,5.96875,5.75,5.8125,360000,0,0.0
5.84375,5.84375,5.625,5.65625,1535600,0,0.0
5.6875,5.9375,5.5625,5.875,2428000,0,0.0
6.0,6.0625,5.875,6.03125,1139600,0,0.0
6.0625,6.4375,6.0,6.4375,2898000,0,0.0
6.4375,6.625,6.375,6.5,1864800,0,0.0
6.5,6.5625,6.375,6.375,522000,0,0.0
6.4375,6.4375,6.25,6.25,893600,0,0.0
6.3125,6.375,6.3125,6.375,1535600,0,0.0
6.375,6.40625,6.3125,6.40625,216400,0,0.0
6.3125,6.5,6.3125,6.5,595600,0,0.0
6.375,6.4375,6.375,6.4375,274400,0,0.0
6.3125,6.4375,6.3125,6.3125,134000,0,0.0
6.375,6.375,6.3125,6.375,362400,0,0.0
6.3125,6.375,6.3125,6.3125,445600,0,0.0
6.3125,6.375,6.3125,6.3125,858800,0,0.0
6.375,6.4375,6.3125,6.3125,290400,0,0.0
6.40625,6.4375,6.1875,6.21875,354400,0,0.0
6.1875,6.3125,6.1875,6.21875,320000,0,0.0
6.1875,6.21875,5.9375,5.9375,312000,0,0.0
5.9375,6.125,5.875,5.875,329600,0,0.0
5.875,5.9375,5.75,5.75,1096000,0,0.0
5.75,5.875,5.75,5.875,1310800,0,0.0
5.9375,6.25,5.875,6.25,1317200,0,0.0
6.1875,6.375,6.125,6.34375,1305600,0,0.0
6.3125,6.375,6.3125,6.375,998000,0,0.0
6.3125,6.375,6.25,6.25,2262400,0,0.0
6.25,6.28125,6.25,6.28125,2063600,0,0.0
6.3125,6.3125,6.125,6.3125,1288800,0,0.0
6.1875,6.3125,6.1875,6.25,955200,0,0.0
6.25,6.3125,6.25,6.3125,778000,0,0.0
6.1875,6.28125,6.1875,6.1875,60400,0,0.0
6.1875,6.3125,6.1875,6.25,362000,0,0.0
6.375,6.6875,6.1875,6.625,2952400,0,0.0
6.5,7.25,6.5,7.03125,3481200,0,0.0
7.125,7.3125,7.125,7.25,2900800,0,0.0
7.1875,7.3125,7.1875,7.25,887600,0,0.0
7.0625,7.125,7.0,7.0625,444000,0,0.0
7.0625,7.125,6.9375,6.9375,480000,0,0.0
6.9375,7.0625,6.9375,6.96875,320000,0,0.0
6.9375,7.25,6.9375,7.15625,1528800,0,0.0
7.0625,7.1875,7.03125,7.09375,372800,0,0.0
7.0625,7.125,7.0,7.03125,178800,0,0.0
7.0625,7.125,7.0,7.03125,166400,0,0.0
7.125,7.125,6.5,6.6875,1005600,0,0.0
6.5625,6.875,6.4375,6.875,411200,0,0.0
6.84375,7.0,6.75,6.9375,144800,0,0.0
6.9375,7.4375,6.9375,7.375,1877600,0,0.0
7.25,7.375,7.1875,7.3125,372400,0,0.0
7.1875,7.21875,6.9375,6.9375,1053600,0,0.0
6.875,6.9375,6.375,6.625,796800,0,0.0
6.6875,6.75,6.5625,6.6875,716400,0,0.0
6.625,6.75,6.5625,6.59375,278800,0,0.0
6.5625,6.9375,6.5625,6.84375,1690800,0,0.0
6.9375,7.1875,6.8125,7.0625,1269200,0,0.0
7.0625,7.3125,7.0625,7.25,859200,0,0.0
7.25,7.3125,7.1875,7.25,1376400,0,0.0
7.1875,7.21875,7.125,7.21875,343200,0,0.0
7.125,7.4375,7.125,7.40625,647200,0,0.0
7.375,7.8125,7.375,7.8125,3544400,0,0.0
7.6875,8.1875,7.6875,8.125,1288000,0,0.0
8.0625,8.25,7.8125,7.8125,1742400,0,0.0
7.8125,8.1875,7.8125,8.125,668400,0,0.0
8.0625,8.0625,7.6875,7.875,363600,0,0.0
7.875,7.875,7.5,7.625,1185200,0,0.0
7.5625,7.625,7.5,7.5,294400,0,0.0
7.375,7.4375,7.09375,7.25,1070400,0,0.0
7.375,7.5,7.25,7.3125,536000,0,0.0
7.375,7.75,7.375,7.53125,1123600,0,0.0
