Open,High,Low,Close,Volume,Dividends,Stock Splits
8.4375,8.4375,8.4375,8.4375,60000,0,0
8.4375,10.6875,8.4375,10.5,917700,0,0
10.5,10.5,10.5,10.5,32700,0,0
10.625,10.625,9.25,9.25,511000,0,0
9.375,9.375,8.5,8.8125,2424000,0,0
9.0,10.5,9.0,9.625,462000,0,0
10.0,10.0,9.25,9.375,799500,0,0
9.5,9.625,9.3125,9.4375,292300,0,0
9.375,9.6875,9.1875,9.25,239100,0,0
9.1875,9.25,8.875,8.9375,753300,0,0
9.0625,9.625,8.9375,9.0,294100,0,0
9.0,9.0,8.0625,8.375,801700,0,0
8.1875,8.3125,8.0625,8.0625,574400,0,0
8.0625,8.125,7.9375,7.9375,748300,0,0
7.9375,8.0,7.8125,7.9375,84700,0,0
7.9375,8.375,7.875,8.0625,275500,0,0
8.1875,8.5,8.1875,8.3125,150900,0,0
8.3125,8.5,8.3125,8.375,178700,0,0
8.375,8.625,8.3125,8.4375,369700,0,0
8.6875,8.6875,8.375,8.375,86900,0,0
9.125,9.125,8.625,8.75,521400,0,0
8.75,9.1875,8.75,8.875,148600,0,0
8.875,9.25,8.875,9.0,57400,0,0
8.9375,9.1875,8.75,9.1875,262700,0,0
9.25,9.625,9.1875,9.375,233600,0,0
9.6875,10.125,8.875,9.25,1056000,0,0
9.25,9.75,9.25,9.4375,263000,0,0
9.5625,9.625,9.3125,9.375,315400,0,0
9.375,9.375,8.9375,9.125,444300,0,0
9.0625,9.6875,9.0625,9.5,109100,0,0
9.625,9.625,9.125,9.25,120700,0,0
9.5625,9.625,9.375,9.5625,222100,0,0
9.5625,9.8125,9.5,9.75,97500,0,0
9.5,9.5625,9.125,9.375,290600,0,0
9.375,9.5,9.3125,9.375,60300,0,0
9.25,9.375,9.1875,9.25,82400,0,0
9.25,9.625,9.1875,9.5625,36100,0,0
9.5625,9.875,9.4375,9.625,72300,0,0
9.75,10.0,9.5625,9.6875,429300,0,0
9.6875,9.75,9.25,9.4375,21800,0,0
9.375,9.75,9.375,9.75,16100,0,0
9.9375,10.0,9.625,9.625,122900,0,0
9.75,9.8125,9.5,9.5625,40200,0,0
9.6875,9.875,9.5625,9.5625,65500,0,0
9.6875,10.0625,9.6875,9.6875,112700,0,0
9.8125,9.9375,9.25,9.25,247000,0,0
9.375,9.4375,9.1875,9.25,128200,0,0
9.1875,9.375,9.1875,9.25,62400,0,0
9.375,9.5,9.1875,9.1875,124500,0,0
9.1875,9.1875,9.0,9.1875,291200,0,0
9.4375,9.4375,9.0,9.0,63800,0,0
9.1875,9.1875,8.875,8.9375,29300,0,0
8.9375,9.125,8.875,9.0,107800,0,0
9.0,9.125,8.9375,8.9375,152600,0,0
9.0625,9.0625,8.75,8.75,87200,0,0
8.875,8.9375,8.6875,8.6875,57000,0,0
8.8125,8.8125,8.625,8.625,37400,0,0
8.625,9.0,8.625,8.9375,101400,0,0
8.875,9.0,8.8125,8.8125,283000,0,0
8.9375,9.125,8.8125,9.0,563600,0,0
8.9375,10.25,8.75,9.1875,402600,0,0
9.375,9.75,9.3125,9.5,255200,0,0
9.625,9.6875,8.75,9.0,374500,0,0
9.125,9.375,8.875,8.875,128000,0,0
9.125,9.125,8.8125,8.8125,111600,0,0
8.9375,9.4375,8.75,8.875,208900,0,0
9.0,9.0,8.6875,8.6875,118000,0,0
8.6875,8.9375,8.5625,8.5625,80000,0,0
8.5,8.6875,8.5,8.5,88300,0,0
8.625,8.9375,8.5625,8.875,26800,0,0
8.8125,9.125,8.8125,9.0,76600,0,0
9.0625,9.125,8.625,8.625,50400,0,0
8.625,8.8125,8.375,8.8125,166200,0,0
8.9375,9.0,8.625,9.0,152400,0,0
9.125,9.375,8.75,9.3125,725500,0,0
9.4375,10.4375,8.875,10.1875,250400,0,0
10.5,11.625,10.5,10.8125,435100,0,0
10.9375,11.0,10.625,10.625,137200,0,0
11.0,11.0625,10.75,10.9375,440900,0,0
11.0,12.875,11.0,12.375,926200,0,0
13.0,13.4375,12.625,13.0625,717400,0,0
13.4375,13.875,12.75,13.625,527500,0,0
13.625,13.75,12.5625,13.5625,437100,0,0
13.5,13.75,13.0,13.625,496700,0,0
13.9375,15.9375,13.75,15.6875,585900,0,0
16.5,18.5625,16.1875,18.375,1053800,0,0
19.5625,28.5,18.5,26.0,1939100,0,0
24.9375,24.9375,18.5,18.75,2304600,0,0
