Open,High,Low,Close,Volume,Dividends,Stock Splits
4.5625,4.625,4.5,4.5,2001000,0,0.0
4.5,4.625,4.5,4.5625,314600,0,0.0
4.625,4.625,4.5,4.5,2001000,0,0.0
4.625,4.625,4.5,4.625,75400,0,0.0
4.625,4.625,4.5,4.5,354400,0,0.0
4.625,4.625,4.5,4.5,372000,0,0.0
4.5,4.5625,4.5,4.5,157000,0,0.0
4.625,4.625,4.5625,4.5625,220800,0,0.0
4.625,4.625,4.5,4.625,103800,0,0.0
4.5625,4.625,4.5625,4.625,124600,0,0.0
4.625,4.625,4.5,4.5,222400,0,0.0
4.625,4.625,4.5,4.5625,97000,0,0.0
4.5,4.625,4.5,4.5,172000,0,0.0
4.5,4.625,4.5,4.5,41600,0,0.0
4.625,4.625,4.5,4.5,63000,0,0.0
4.625,4.625,4.5625,4.625,102200,0,0.0
4.5,4.625,4.5,4.5,31800,0,0.0
4.625,4.625,4.5,4.5,69800,0,0.0
4.4375,4.5,4.1875,4.375,75400,0,0.0
4.375,4.4375,4.25,4.375,57800,0,0.0
4.4375,4.4375,4.3125,4.4375,14000,0,0.0
4.4375,4.5,4.3125,4.375,41400,0,0.0
4.5,4.5,4.3125,4.3125,17000,0,0.0
4.5,4.5625,4.3125,4.5625,77600,0,0.0
4.5625,4.6875,4.5,4.625,72600,0,0.0
4.625,4.6875,4.5,4.6875,73400,0,0.0
4.6875,4.9375,4.5625,4.9375,178000,0,0.0
4.9375,5.1875,4.8125,5.1875,145800,0,0.0
5.1875,5.5,5.125,5.125,326200,0,0.0
5.125,5.25,5.0,5.0,139000,0,0.0
5.0,5.1875,5.0,5.0,145000,0,0.0
5.125,5.125,5.0,5.0,35800,0,0.0
5.0,5.125,4.875,4.875,33800,0,0.0
5.0625,5.0625,4.875,5.0625,30200,0,0.0
4.875,5.125,4.875,5.0,167400,0,0.0
5.25,5.3125,5.0625,5.1875,729400,0,0.0
5.375,5.5625,5.375,5.5625,110600,0,0.0
5.375,5.5625,5.375,5.5625,230800,0,0.0
5.5625,5.5625,5.4375,5.5,90200,0,0.0
5.5625,5.6875,5.5,5.6875,82800,0,0.0
5.5625,6.25,5.5625,6.1875,443200,0,0.0
6.25,6.875,6.1875,6.625,290400,0,0.0
6.5625,6.6875,6.375,6.5625,492200,0,0.0
6.375,6.5625,6.375,6.5625,28400,0,0.0
6.5625,7.0,6.375,7.0,106400,0,0.0
7.0,7.625,6.875,7.625,230400,0,0.0
7.625,7.625,7.375,7.375,277000,0,0.0
7.5,7.5,7.1875,7.375,117600,0,0.0
7.375,7.875,7.25,7.8125,87800,0,0.0
7.8125,7.8125,7.6875,7.8125,144400,0,0.0
7.8125,7.8125,7.375,7.375,532000,0,0.0
7.5,7.5,7.25,7.5,86600,0,0.0
7.5,7.5,6.625,6.625,237800,0,0.0
6.625,6.875,6.625,6.8125,157000,0,0.0
6.6875,6.875,6.6875,6.875,41200,0,0.0
6.875,6.875,6.6875,6.875,35000,0,0.0
6.875,6.875,6.75,6.8125,12800,0,0.0
6.875,6.875,6.75,6.875,11400,0,0.0
6.875,7.375,6.875,7.25,97600,0,0.0
7.4375,8.0,7.4375,7.8125,164800,0,0.0
7.5,7.625,7.4375,7.5,120200,0,0.0
7.4375,7.625,7.4375,7.625,44200,0,0.0
7.625,7.625,7.0,7.25,57000,0,0.0
7.25,7.25,6.75,6.75,64800,0,0.0
6.9375,7.5,6.8125,7.5,503400,0,0.0
7.625,7.875,7.25,7.5625,140200,0,0.0
7.5625,7.5625,7.25,7.25,127600,0,0.0
7.25,7.5,7.25,7.25,25400,0,0.0
