Open,High,Low,Close,Volume,Dividends,Stock Splits
3.75,3.8125,3.75,3.78125,12706000,0,0.0
3.75,3.78125,3.75,3.75,1213200,0,0.0
3.75,3.78125,3.75,3.75,909600,0,0.0
3.75,3.78125,3.75,3.75,1314800,0,0.0
3.75,3.78125,3.75,3.75,275200,0,0.0
3.75,3.78125,3.75,3.75,1011600,0,0.0
3.625,3.625,3.3125,3.53125,3952000,0,0.0
3.5,3.5625,3.34375,3.4375,708400,0,0.0
3.4375,3.75,3.40625,3.6875,1346000,0,0.0
3.6875,3.6875,3.53125,3.5625,790800,0,0.0
3.53125,3.75,3.5,3.71875,548000,0,0.0
3.75,3.78125,3.6875,3.75,892800,0,0.0
3.78125,3.90625,3.78125,3.8125,521200,0,0.0
3.8125,3.8125,3.71875,3.71875,217600,0,0.0
3.6875,3.78125,3.59375,3.75,265200,0,0.0
3.75,3.78125,3.71875,3.75,392400,0,0.0
3.78125,3.84375,3.71875,3.78125,1363200,0,0.0
3.90625,4.09375,3.84375,4.03125,1664000,0,0.0
4.0625,4.21875,4.0625,4.1875,1551600,0,0.0
4.1875,4.3125,4.15625,4.25,902800,0,0.0
4.25,4.28125,3.96875,4.15625,646400,0,0.0
4.125,4.125,4.0,4.125,324400,0,0.0
4.125,4.25,4.125,4.15625,274000,0,0.0
4.28125,4.5,4.21875,4.375,660000,0,0.0
4.40625,4.5,4.375,4.40625,422800,0,0.0
4.4375,4.5,4.40625,4.40625,156800,0,0.0
4.4375,4.53125,4.375,4.5,230400,0,0.0
4.5,4.5,4.4375,4.46875,213200,0,0.0
4.5,4.5625,4.4375,4.5625,179600,0,0.0
4.5,4.53125,4.28125,4.34375,456800,0,0.0
4.28125,4.40625,4.1875,4.40625,147600,0,0.0
4.46875,4.6875,4.46875,4.5625,385200,0,0.0
4.5,4.8125,4.5,4.6875,620800,0,0.0
4.65625,4.8125,4.65625,4.78125,67600,0,0.0
4.75,4.75,4.71875,4.71875,192400,0,0.0
4.71875,4.75,4.59375,4.59375,305600,0,0.0
4.625,4.65625,4.5625,4.5625,369600,0,0.0
4.59375,4.59375,4.25,4.375,232000,0,0.0
4.375,4.5625,4.375,4.5,158400,0,0.0
4.5,4.5625,4.4375,4.4375,52000,0,0.0
4.375,4.4375,4.28125,4.375,117600,0,0.0
4.375,4.4375,4.3125,4.4375,56000,0,0.0
4.46875,4.6875,4.46875,4.6875,1279200,0,0.0
4.75,4.96875,4.75,4.75,1138400,0,0.0
4.75,4.84375,4.75,4.78125,170400,0,0.0
4.84375,5.03125,4.8125,5.03125,371200,0,0.0
